,node,name,lat,lon,closeness,Station,Trafic
1055,3031,BEL AIR,48.84961812216385,2.6408610910140897,9.451927831676912e-05,BEL AIR,2223888
1056,3032,BEL AIR,48.84937386327594,2.6414861033950703,8.166523815491773e-05,BEL AIR,2223888
1057,5354,BEL AIR,48.86974875272819,2.5053149784562296,0.00011433522707167212,BEL AIR,2223888
1058,13796,BEL AIR,48.87002682081479,2.5056973422055644,0.00011666224902822804,BEL AIR,2223888
1059,18879,BEL AIR,48.836846329742755,2.1297631369932235,2.0867371617738314e-06,BEL AIR,2223888
1060,18880,BEL AIR,48.83558738411051,2.129373347127744,2.3170439365325967e-06,BEL AIR,2223888
1061,1546,GUY MOQUET,48.81922481437062,2.5149235929101734,0.00010916539378051403,GUY MOQUET,4587665
1062,1547,GUY MOQUET,48.81941436707641,2.514379826685489,0.00011269308120906217,GUY MOQUET,4587665
1063,2274,GUY MOQUET,48.971254435036265,2.3923472104511623,0.0001224565519304675,GUY MOQUET,4587665
1064,4285,GUY MOQUET,48.834303962813244,2.5102919129696097,9.627347563511727e-05,GUY MOQUET,4587665
1065,5249,GUY MOQUET,48.83442006808396,2.5107960297022602,9.66308294568222e-05,GUY MOQUET,4587665
1066,6568,GUY MOQUET,48.89282937379386,2.328272761751626,0.0001382660651579363,GUY MOQUET,4587665
1067,6587,GUY MOQUET,48.89318875699754,2.326991506160168,0.00014008080199986572,GUY MOQUET,4587665
1068,10466,GUY MOQUET,48.892757417621844,2.3275231460732115,0.00011959858876027273,GUY MOQUET,4587665
1069,10473,GUY MOQUET,48.89235295629824,2.3270598191345924,0.0001469530013309121,GUY MOQUET,4587665
1070,15475,GUY MOQUET,48.797524281515265,2.358069724549049,0.00015101270800082595,GUY MOQUET,4587665
1071,17211,GUY MOQUET,48.83463701691205,2.5099390500964405,0.0001101740301345496,GUY MOQUET,4587665
1072,19534,GUY MOQUET,48.89290112691723,2.326528155336177,0.0001435144302870318,GUY MOQUET,4587665
1073,19559,GUY MOQUET,48.8932518218494,2.328981434646843,0.00014582611976976417,GUY MOQUET,4587665
1074,1592,REPUBLIQUE,48.76799703948805,2.4790021563991,0.00010362919819922841,REPUBLIQUE,18340798
1075,1593,REPUBLIQUE,48.76790701299739,2.4791242826308806,0.00011943771221342284,REPUBLIQUE,18340798
1076,2372,REPUBLIQUE,48.90759788133574,2.4267723064132727,0.00012252752006527108,REPUBLIQUE,18340798
1077,2840,REPUBLIQUE,48.87032474855916,2.641064081206506,8.775559387489005e-05,REPUBLIQUE,18340798
1078,2841,REPUBLIQUE,48.869290899856864,2.6411806353748193,8.998957062866212e-05,REPUBLIQUE,18340798
1079,9008,REPUBLIQUE,48.78258847798476,2.234188600918894,0.0001237085906422824,REPUBLIQUE,18340798
1080,9009,REPUBLIQUE,48.7822469119877,2.2341620774303825,0.00013091227567134045,REPUBLIQUE,18340798
1081,9284,REPUBLIQUE,48.868138979203536,2.3627844305669687,0.00014229701731948842,REPUBLIQUE,18340798
1082,9285,REPUBLIQUE,48.868039861543714,2.363955968897187,0.00017286831246752732,REPUBLIQUE,18340798
1083,10307,REPUBLIQUE,48.91976658851471,2.2983355128003558,0.00012888268951085,REPUBLIQUE,18340798
1084,10308,REPUBLIQUE,48.91937095562706,2.2977085261377264,0.00014246508099626334,REPUBLIQUE,18340798
1085,13030,REPUBLIQUE,48.866682718988855,2.3641868567643844,0.00017322710943713107,REPUBLIQUE,18340798
1086,13679,REPUBLIQUE,48.86714090245713,2.364936352609631,0.000172665088353837,REPUBLIQUE,18340798
1087,17364,REPUBLIQUE,48.828230590399166,2.542778775568182,0.00010665046205064554,REPUBLIQUE,18340798
1088,17472,REPUBLIQUE,48.84519643284332,2.5494775458929206,0.0001082490092421696,REPUBLIQUE,18340798
1089,17473,REPUBLIQUE,48.845133860047326,2.5492866499490487,0.00010029567418522573,REPUBLIQUE,18340798
1090,18066,REPUBLIQUE,48.820918902945465,2.285234440151342,0.00012983172238284065,REPUBLIQUE,18340798
1091,18067,REPUBLIQUE,48.82095518436542,2.285996605746575,0.0001373305703557819,REPUBLIQUE,18340798
1092,18465,REPUBLIQUE,48.868166178190165,2.3616537233948978,0.00015922589891333063,REPUBLIQUE,18340798
1093,22939,REPUBLIQUE,48.81484600114718,2.467698390615643,0.00013487982315525782,REPUBLIQUE,18340798
1094,22940,REPUBLIQUE,48.81480067417761,2.4680521146487706,1.725930225121495e-06,REPUBLIQUE,18340798
1095,23666,REPUBLIQUE,48.966136554391404,2.3815864043952435,0.0001240164724484638,REPUBLIQUE,18340798
1096,23696,REPUBLIQUE,48.96623532585836,2.381804872311391,7.691124442393479e-07,REPUBLIQUE,18340798
1097,1625,ECOLE VETERINAIRE DE MAISONS-ALFORT,48.81441916465956,2.423100474888156,0.00013549449114413423,ECOLE VETERINAIRE DE MAISONS-ALFORT,3367371
1098,1626,ECOLE VETERINAIRE DE MAISONS-ALFORT,48.8150046109651,2.4213594662826052,0.0,ECOLE VETERINAIRE DE MAISONS-ALFORT,3367371
1099,4294,ECOLE VETERINAIRE DE MAISONS-ALFORT,48.8147969334154,2.4227064346067593,0.00014520295099618497,ECOLE VETERINAIRE DE MAISONS-ALFORT,3367371
1100,4481,ECOLE VETERINAIRE DE MAISONS-ALFORT,48.814229969041,2.4237261755889454,0.0001354944911441343,ECOLE VETERINAIRE DE MAISONS-ALFORT,3367371
1101,7581,ECOLE VETERINAIRE DE MAISONS-ALFORT,48.814292981983456,2.423590190483075,0.00014444120636995518,ECOLE VETERINAIRE DE MAISONS-ALFORT,3367371
1102,1628,PIERRE CURIE,48.810472733578806,2.4242098051495105,0.00010169150605333358,PIERRE CURIE,1523465
1103,1629,PIERRE CURIE,48.81000564772791,2.423828001999437,1.2147431986294499e-06,PIERRE CURIE,1523465
1104,3421,PIERRE CURIE,48.94417085341677,2.517576188065935,0.0001082394648989308,PIERRE CURIE,1523465
1105,3537,PIERRE CURIE,48.892123042361185,2.4881735184332183,0.0001266447980676867,PIERRE CURIE,1523465
1106,4751,PIERRE CURIE,48.86895507816368,2.423817439339642,0.00012601996929521113,PIERRE CURIE,1523465
1107,4752,PIERRE CURIE,48.868990600448974,2.4244033032798584,0.0001443879422042812,PIERRE CURIE,1523465
1108,6718,PIERRE CURIE,48.71258187397343,2.261573604137755,9.713685448900105e-05,PIERRE CURIE,1523465
1109,6719,PIERRE CURIE,48.71383870908266,2.259181216507663,0.00010450333652453373,PIERRE CURIE,1523465
1110,10684,PIERRE CURIE,48.91873660785316,2.3112772676000644,0.00012821548172652574,PIERRE CURIE,1523465
1111,10711,PIERRE CURIE,48.91887135273581,2.311004470539435,0.00011608718877634852,PIERRE CURIE,1523465
1112,14709,PIERRE CURIE,48.9364636778597,2.4271768776938742,0.0001371746795164247,PIERRE CURIE,1523465
1113,14710,PIERRE CURIE,48.93692137629533,2.428009787953228,0.00012933741322398935,PIERRE CURIE,1523465
1114,1653,CRETEIL-PREFECTURE,48.77991704362218,2.461245867969711,9.852131738635824e-05,CRETEIL-PREFECTURE,5080418
1115,1654,CRETEIL-PREFECTURE,48.78000758804928,2.460606882514268,0.00011468067167875411,CRETEIL-PREFECTURE,5080418
1116,1744,CRETEIL - L'ECHAT,48.79690849007686,2.4478180270113206,0.00013669369232585473,CRETEIL - L'ECHAT,2388835
1117,1745,CRETEIL - L'ECHAT,48.796782292795314,2.448212286596667,0.00012679509794925954,CRETEIL - L'ECHAT,2388835
1118,1793,GABRIEL PERI,48.81004937608928,2.436864439987811,0.00013744776183193251,GABRIEL PERI,5245603
1119,1794,GABRIEL PERI,48.810175159180424,2.4369191130693784,0.00013531474368008405,GABRIEL PERI,5245603
1120,4503,GABRIEL PERI,48.78901679820213,2.4660012265389373,0.00010001467961501655,GABRIEL PERI,5245603
1121,4504,GABRIEL PERI,48.78919637955473,2.4661649010312385,0.0001309284227903167,GABRIEL PERI,5245603
1122,5690,GABRIEL PERI,48.81817044569001,2.3253050858161446,0.00014489722390403418,GABRIEL PERI,5245603
1123,5691,GABRIEL PERI,48.818062641326925,2.3257950701996193,0.00014325042669641232,GABRIEL PERI,5245603
1124,7538,GABRIEL PERI,48.81738859502222,2.326135464270519,0.00014490532739038346,GABRIEL PERI,5245603
1125,7605,GABRIEL PERI,48.7983005517985,2.399877617408329,0.00013654666206742904,GABRIEL PERI,5245603
1126,7606,GABRIEL PERI,48.79826451434789,2.400040831580739,0.00014387513993080578,GABRIEL PERI,5245603
1127,9742,GABRIEL PERI,48.80414819244772,2.1691210050365775,1.8829718514980895e-06,GABRIEL PERI,5245603
1128,9743,GABRIEL PERI,48.80396872482966,2.1693256810760886,1.9495864931759173e-06,GABRIEL PERI,5245603
1129,10367,GABRIEL PERI,48.90619704877619,2.301058700163011,0.00015186033843584182,GABRIEL PERI,5245603
1130,10670,GABRIEL PERI,48.906341484058906,2.3032399076261534,0.00014625549191549006,GABRIEL PERI,5245603
1131,12239,GABRIEL PERI,48.88944125466752,2.198146157870985,0.00013279992112325697,GABRIEL PERI,5245603
1132,12262,GABRIEL PERI,48.88990783850749,2.197504348487156,0.0001282854311774969,GABRIEL PERI,5245603
1133,14699,GABRIEL PERI,48.953905794238224,2.4162087349141093,0.00012839184693429168,GABRIEL PERI,5245603
1134,14700,GABRIEL PERI,48.95413029004509,2.4164683469583084,0.00010783894067049598,GABRIEL PERI,5245603
1135,15020,GABRIEL PERI,48.72928165027463,2.2760056052258806,0.00011816389147583509,GABRIEL PERI,5245603
1136,15021,GABRIEL PERI,48.729353668825254,2.2762229087458588,0.00010780420420785395,GABRIEL PERI,5245603
1137,16651,GABRIEL PERI,48.88261646917931,2.1878488645965537,8.523539826602586e-05,GABRIEL PERI,5245603
1138,16652,GABRIEL PERI,48.88251822368597,2.1883397174083594,0.00013109530059017804,GABRIEL PERI,5245603
1139,17528,GABRIEL PERI,48.83207859919901,2.566672475587616,1.8440131855224261e-06,GABRIEL PERI,5245603
1140,17529,GABRIEL PERI,48.83151230326947,2.5667108125757916,9.66197460343566e-05,GABRIEL PERI,5245603
1141,18080,GABRIEL PERI,48.804281619719895,2.266038901605573,0.0001469925232945816,GABRIEL PERI,5245603
1142,18081,GABRIEL PERI,48.80388678659438,2.26710073279269,0.0001233589578703813,GABRIEL PERI,5245603
1143,23338,GABRIEL PERI,48.794111497225124,2.4012057296036327,0.00011718432247534686,GABRIEL PERI,5245603
1144,23339,GABRIEL PERI,48.79412102922067,2.4001854625249575,0.00013793828861529894,GABRIEL PERI,5245603
1145,1921,BIBLIOTHEQUE,48.84059304604478,2.591654571230189,8.711610508274953e-05,BIBLIOTHEQUE,17491541
1146,1922,BIBLIOTHEQUE,48.840710319751324,2.591450906282933,9.407171961922546e-05,BIBLIOTHEQUE,17491541
1147,6697,BIBLIOTHEQUE,48.80494103002888,2.3343836978404418,0.00013899014975632233,BIBLIOTHEQUE,17491541
1148,2373,GARE DE L'EST,48.87615667154024,2.3575699124657437,0.00014059532276631528,GARE DE L'EST,20373189
1149,2374,GARE DE L'EST,48.87611168124885,2.357883275054754,0.0,GARE DE L'EST,20373189
1150,5856,GARE DE L'EST,48.87568923822874,2.358114733926893,0.00012452466099053007,GARE DE L'EST,20373189
1151,5857,GARE DE L'EST,48.875141086436834,2.3576921392329484,0.0,GARE DE L'EST,20373189
1152,5902,GARE DE L'EST,48.87522201161175,2.3574605462529226,0.00013453095985396001,GARE DE L'EST,20373189
1153,6181,GARE DE L'EST,48.87617468079017,2.3573655408708234,0.00017028397753265969,GARE DE L'EST,20373189
1154,6182,GARE DE L'EST,48.87627342878736,2.358019592112842,0.0001399287089876796,GARE DE L'EST,20373189
1155,7070,GARE DE L'EST,48.87534776844683,2.357842096001513,0.0001394911351897202,GARE DE L'EST,20373189
